;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1967;190;345.8;115.9;234.5;18;39.2;30.2;0.3;0;65.5;22;24.7
1968;138.8;145.6;58.3;67.6;12.9;24.1;12.2;7.9;9.8;4.1;86.8;46.9
1969;53.6;51.1;114.8;8.3;26.6;5.2;7.7;0.2;21.4;130.8;37.5;85.9
1970;12.1;1.8;33.5;1.1;20.5;38.4;0;0;0.6;30.7;34.7;64.4
1971;138.9;90.4;132.8;71.5;22.8;22;9.6;0;8.8;74.7;56;117.3
1972;149.9;316.4;800.3;27.1;302.5;1.9;8.1;0;0;13.5;32.7;74
1973;79.6;157.7;83.4;123.1;16.6;22.6;21.6;12.9;164.6;33.9;84.7;171.2
1974;138.4;345.4;91.1;84.2;31.9;0;10.1;2.5;21.7;30.9;101.5;90.9
1975;76.3;128.2;101.2;64.5;39.3;13.8;0.8;11.9;0;21.5;33.5;175.5
1976;559.7;96;75.2;56.3;65.1;17.3;2.5;0;18.5;20.3;14.3;72.5
1977;146.7;509.8;254.4;4.1;0;8.3;0;74.7;54.6;5.3;62.4;156.7
1978;268.3;220.2;102.7;73.2;7.4;28.1;44.5;0;12.4;46.3;70.1;39.4
1979;111.7;47.3;104.6;50.9;25.4;21.6;22.4;31.9;4.8;37.6;41.7;57.4
1980;47.4;122.2;58.7;63.4;3.4;0;2.5;53.7;62.3;35.9;51.2;44
1981;200.4;111.5;115;44.7;142.8;6.1;3.4;34.9;193.7;105.4;139.6;24.1
1982;122.5;56.4;34.1;45.8;22.1;0;17.5;0;7.3;44.1;10;88.9
1983;49.9;61.5;39.7;6;30.5;6.3;12.2;44.3;0;28.7;85.9;9.5
1984;215.5;107.2;213.5;34.2;46.2;18.2;85.8;0.4;45.6;86.3;44.1;10.2
1985;146.6;184.2;169.8;35.4;52.8;10.3;12.6;4.5;37.4;34.9;16.6;74.8
1986;166.8;79.9;29.4;123.3;12;3.7;0;9.4;3.8;35.8;23;125.6
1987;63.8;13.1;128.9;26.6;52.5;20.8;2.3;91.4;38;33.5;75.9;59
1988;34.8;45.3;143.6;40.5;29.9;38.5;6.6;45.1;10.2;76.5;59.8;74.3
1989;3.5;184.5;9.5;32;30.6;55.9;24.9;4.3;7.3;25;77.1;110.4
1990;202.8;153.8;155;41.7;29.4;12;0;14.2;3.5;30.6;29.9;136.8
1991;44.3;81.4;139.8;6.6;20.7;16.4;0.5;0;26.5;9.6;89.9;46.5
1992;151;6.3;31.7;0;16.7;15.8;2.3;8.3;5;23;32.5;211
1993;48;126.2;106.5;56.3;22;20.8;40;32.5;0;21.3;57.1;68.7
1994;134.3;19.5;41.3;34.7;16.4;0;14.4;6.4;23.9;60.5;30;158.4
1995;36.5;31.6;31;61.6;39.4;2.3;0;11.8;31.5;60.5;57.9;82
1996;95.3;83.4;44.1;135.5;28.9;29;20.6;38.3;0;0.8;77.7;143.6
1997;183.5;123.2;61.4;18.9;43.9;1.7;1;9.6;28.9;61.4;107.4;102.5
1998;125.2;65.7;26.4;11.2;3.5;0;8.8;11.2;38.9;56.9;95.3;138.9
1999;128.1;209.9;76.9;60.4;34.7;10.3;28.9;9;10.7;32.2;148.7;97
2000;214;171.3;326.1;18.6;50.6;15.9;15.4;1.8;122.9;31.8;313.8;47.2
2001;51.3;208;109.9;79.4;11.1;4.6;3.3;3.6;15;69.7;206.4;191.1
2002;73;23;36.8;3.9;14.1;20.8;3.8;1.9;51.3;28.4;35.1;42.4
2003;49.6;80.5;93.6;41.5;16.8;179.4;16.8;0;51.3;61.5;32.8;54.7
2004;318.1;147.8;214.2;134.2;3.6;25;42.1;2.8;38.4;37;81.4;109.5
2005;54.4;65.5;96.3;28.5;27.7;7.4;29;0;22.2;27;86.8;114.6
2006;175.4;49;192.5;30.2;52.2;27.7;13;6.5;18.1;19.2;51.4;76.4
2007;72.4;100;84;101.7;0;29.6;22.8;15;4.1;40.1;40.4;249.1
2008;149.2;10;34.7;39.3;2.7;18.3;21.4;9.1;0;4.4;174.8;145.6
2009;151;114.5;66.2;35.8;38;16.5;9;1.5;0;0;124;56.6
2010;98.5;71.4;114.8;191.1;43.4;0;24.9;8.5;0.4;12.2;134;115.4
2011;284.1;47.3;79.6;115.1;16.2;31.2;13.2;14.4;1.1;32.5;87.1;111.9
2012;90.9;106.7;73.4;6.1;1.9;0.4;2.6;0;62;84.2;31.4;65.7
2013;292.8;85.3;75.8;29.6;17.9;0;14;8.6;15.3;79.6;71.2;160.4
2014;178.4;67.4;102.2;14.8;0.3;0;0;7.33;0.5;22;29;231.2
2015;84.4;26.5;9.3;51.2;9.3;0;5;0.7;31.4;19.3;35.1;
