;JAN;JAN;FEB;FEB;MAR;MAR;APR;APR;MAY;MAY;JUN;JUN;JUL;JUL;AUG;AUG;SEP;SEP;OCT;OCT;NOV;NOV;DEC;DEC
;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN
1967;;;;;;;;;;;;;;;;;;;;;;;;
1968;;;;;;;;;;;;;;;;;;;;;;;;
1969;;;;;;;;;;;;;;;;;;;;;;;;
1970;;;;;;;;;;;;;;;;;;;;;;;;
1971;;;;;;;;;;;;;;;;;;;;;;;;
1972;;;;;;;;;;;;;;;;;;;;;;;;
1973;;;;;;;;;;;;;;;;;;;;;;;;
1974;;;;;;;;;;;;;;;;;;;;;;;;
1975;;;;;;;;;;;;;;;;;;;;;;;;
1976;;;;;;;;;;;;;;;;;;;;;;;;
1977;;;;;;;;;;;;;;;;;;;;;;;;
1978;;;;;;;;;;;;;;;;;;;;;;;;
1979;;;;;;;;;;;;;;;;;;;;;;;;
1980;41.23;22.38;35.82;21.52;32.65;21.26;30.42;2.76;25.1;18.16;32.1;17.93;32.74;17.25;32.67;16.5;32.76;13.72;37;12.44;35.63;17;27.96;25.88
1981;28.16;26.42;26.33;24.73;24.9;22.84;22.03;20.12;18.45;16.48;16.27;12.28;15.54;13.62;17.09;14.96;19.18;17.58;22.38;19.92;25.26;23.56;25.72;24.53
1982;26.82;25.16;26.03;24.21;25.32;23.48;22.1;20.24;21.86;18.2;26.77;21.45;18;14.48;26.93;14.65;26.55;18.29;23.32;21.15;24.56;22.65;26.31;24.5
1983;28.44;26.37;25.96;25.86;24.16;22.7;23.35;22.25;19.19;18.11;16.75;15;15.22;13.76;17.54;15;22.37;19.84;22.54;21.88;24.86;23.76;25.72;24.26
1984;26.3;25.2;25.1;23.91;24.42;23.22;21.44;19.33;19.54;17.5;15.51;13.6;15.41;10.3;17.54;15.44;21.46;19.21;23.25;20.88;24.1;22.42;27.35;26.04
1985;27.03;25.3;25.85;24.41;25.85;24.41;21.73;20.65;17.13;16.07;15.13;14.08;15.13;14.15;17.06;15.81;20.74;20.31;24.32;23.37;26.36;24.76;27.87;26.23
1986;25.45;25.23;25.11;24.04;24.8;23.8;24.27;22.56;18.64;17.38;17.31;16.29;15.54;13.74;18.64;16.38;21.51;20.56;23.33;21.84;24.8;23.44;27;25.73
1987;27.74;25.92;28.11;26.08;25.9;24.07;23.03;21.36;20.24;18.5;15.17;13.4;15.16;13.18;18.06;16.26;23.33;21.84;20.19;18.4;24.66;23.04;28.32;26.32
1988;32.79;26.41;31.75;26.25;30.96;25.07;29.38;21.4;27.93;17.27;27.1;13.68;26.06;13.42;27.96;16.48;27.58;19.32;28.09;20.73;27.53;22.57;30.36;23.15
1989;30.23;24.72;29.33;24.21;32.06;23.77;28.78;20.91;28.83;18.23;25.73;15.76;24.7;13.8;28.58;18.74;28.35;19.7;27.51;21.61;29.36;23.61;30.34;24.28
1990;30.96;23.34;30.88;21.17;31.42;21.7;29.96;20.45;27.45;16.23;26.13;13.64;26.29;14.61;25.87;16.29;28.14;18.56;29.96;21.26;31.93;22.84;31.41;23.16
1991;34.03;25.69;30.46;25;29.48;23.19;28.31;20.46;28.64;16.69;25.96;14.16;26.83;13.63;28.06;15.7;28.51;20.08;32.32;22.03;32.9;23.8;32.2;23.92
1992;34.45;25.11;35.89;23.12;34.03;22.73;34.03;21.72;30.22;17.88;26.89;15.2;26.45;15.03;27;15.27;30.25;21;31.03;23.32;32.36;23.88;36.59;26.04
1993;34;24.9;31.13;23.84;29.33;22.86;30;20.76;28.2;18.26;26.87;12.95;26.23;14.72;27.4;14.77;30.36;19.57;29.36;21.55;33.91;23.04;33.66;25.13
1994;30.53;22.52;30.6;22.94;31.88;23.13;30.08;21;29.04;15.63;26.92;13.09;25.84;10.76;26.66;12.74;28.95;19.3;26.6;20;32.8;23.36;32.86;23.65
1995;33.27;24.9;33.54;23.21;30.88;23.21;28.45;20.42;25.61;16.76;26;12.14;27.15;13.28;27.51;16.08;30.34;20.05;32.33;22.36;30.88;23.95;31.45;24.15
1996;31.29;25.13;31.28;23.66;29.5;21.9;26.4;19.6;27.14;17.18;25.56;13.63;24.33;12.82;25.11;15.95;29.57;19.15;30.44;19.39;33.47;23.66;33.04;24.23
1997;32.33;24.76;31.94;23.57;31.33;23.33;29.42;18.9;26.66;17;26.45;13.45;26.04;14.3;28.66;16.76;28.05;20.4;28.47;20.21;32.1;23.15;31.59;23.77
1998;33.8;25.2;31.47;24.52;33.68;24.09;31.14;21.42;30.1;17.76;27.6;15.96;26.04;15.65;27.24;18.1;36;16;28.27;18;30.62;19;29.24;23.82
1999;30.07;25.09;29.7;24.1;31.17;25.26;27.52;22.14;27.35;19.2;26.57;14.9;26;14.9;32.86;17.64;28.2;20.12;30.98;18.26;31.45;24.72;34.25;22.75
2000;32.43;21.67;32.5;24.2;32.7;23;29.95;19.95;27.86;16.75;27.1;16.43;27;14.9;28.57;16.74;29.73;19.63;31.05;21.64;31.36;23;34;27
2001;32.82;24.59;32.45;24.5;32.14;23.55;31.52;22.19;29.38;17.62;28.32;15.05;27.82;14.55;29.61;18.39;30.78;21.06;31.65;23.43;31.6;24.3;31.5;24.8
2002;35.09;25.91;34.74;24.74;34.9;24.52;33.67;22.14;30.73;18.77;27.26;15.74;28.08;15.22;30.04;19.14;30.63;20.89;32.18;22.77;30.86;22.48;34.1;25.4
2003;36.18;26.5;35.66;26.44;33.57;24.62;32.14;22.52;27.71;19.19;24.15;16.35;25.3;15.04;26.76;16.9;28.8;19.75;30.09;22.57;32.2;23.85;34.09;25.86
2004;34.62;24.62;32.83;22.44;31.52;21.87;29;20.48;28.29;16.76;25.52;14.1;24.09;14.68;27.5;18.05;27.14;19.52;31.1;21.74;33.5;23.05;32;24
2005;34.76;23.67;34.82;23.82;31.96;22.91;30.3;19.35;29.62;18.24;27;17.68;26.05;15.95;29.3;19.26;30.45;21.4;30.85;23.4;33.05;24.64;31.48;24.14
2006;31.76;25.76;33.89;26.17;29.52;23.35;29.58;21.26;27.77;16.77;25.14;16.69;27.67;15.29;27.39;17.65;29.05;19.58;31.6;24.05;32.24;24.19;35.3;25.2
2007;33.82;25.68;33.84;25.26;33.27;24.86;30.95;22.33;29.41;16.64;26.7;13.4;26.32;11.91;29.05;15.52;31.56;21.89;28.91;22.86;33.05;23.91;30.18;23.76
2008;31.5;22.09;33.71;22.06;32.95;20.52;29.67;16.86;29.85;15.8;26.7;14.6;26.83;13.7;28.62;15.02;31.2;20.05;32.26;22.48;31.68;22.84;32.05;25
2009;32.7;25.96;32.71;25.43;31.58;23.55;29.77;20.63;28.65;18.42;27.3;15.69;24.74;13.71;27.16;16.81;29.93;20.47;30.35;22.58;30.87;22.9;33.84;25.58
2010;33.13;25.42;34.5;26.39;32;24.87;29.2;22.33;29;20.39;26.83;16.07;25.68;15.94;26.45;16.77;29.52;20.86;31;23.98;30.73;24.07;32.42;25.45
2011;31.35;25.29;32.36;25.04;34.71;25.35;29.43;21.67;29.58;19.1;26.97;14.37;23.74;14.39;26.29;16.03;30.73;20.77;29.97;22.94;32.77;21.53;33.77;21.74
2012;33.16;25.35;32.69;25.45;31.81;24.35;29.2;20.47;29.9;19.45;27.7;15.8;26.48;15.58;29.03;17.74;27.63;20.6;29.65;22.97;31.27;24.43;33.9;26.45
2013;30.68;25.45;31.89;25.43;31.03;24.13;28.3;18.56;27.16;16.97;26.47;15.03;26;15.45;26.9;17.23;29.67;20.1;28.68;21.23;30.53;23.43;29.35;23.55
2014;31.23;25.16;31.43;24.68;31.03;23.74;28.97;20.4;28.32;17;26.77;14.23;26.26;13.23;27.87;16.58;30.2;19.67;28.23;21.52;29.8;23;30.35;24.29
2015;30.81;25.32;31.57;24.89;31.48;23.52;28.27;19.3;28.58;17.39;26.4;13.47;26.16;14.52;27.9;16.23;28.03;19.03;30.58;22.71;30.53;22.7;;
